sheet,cell,out_degree,in_degree,is_terminal,ancestors,descendants,sheet_depth
Sheet1,I1,0,0,True,0,0,0
Sheet1,A4,0,0,True,0,0,0
Sheet1,D5,0,0,True,0,0,0
Sheet1,F5,0,0,True,0,0,0
Sheet1,I5,2,0,False,0,4,0
Sheet1,J5,0,1,True,1,0,0
Sheet1,D6,0,0,True,0,0,0
Sheet1,F6,0,0,True,0,0,0
Sheet1,I6,2,0,False,0,4,0
Sheet1,J6,0,1,True,1,0,0
Sheet1,D7,0,0,True,0,0,0
Sheet1,F7,0,0,True,0,0,0
Sheet1,I7,2,2,False,2,2,0
Sheet1,D9,0,0,True,0,0,0
Sheet1,F9,0,0,True,0,0,0
Sheet1,I9,1,1,False,3,1,0
Sheet1,D10,0,0,True,0,0,0
Sheet1,F10,0,0,True,0,0,0
Sheet1,I10,0,3,True,5,0,0
Sheet1,I8,1,0,False,0,1,0
